<Node object at 0x2ad896079a10: '0.850' (None)>,1
<Node object at 0x2ad871298e90: '0.692' (None)>,1
<Node object at 0x2ad892148690: '0.773' (None)>,1
<Node object at 0x2ad804a2bf50: '1.000' (None)>,613
<Node object at 0x2ad83ca73590: '0.836' (None)>,154
<Node object at 0x2ad872e7b650: '0.862' (None)>,44
<Node object at 0x2ad87500fa90: '0.788' (None)>,8
<Node object at 0x2ad83c821090: '1.000' (None)>,155
<Node object at 0x2ad8388cff90: '0.661' (None)>,5
<Node object at 0x2ad879965650: '0.000' (None)>,1
<Node object at 0x2ad840047210: '0.368' (None)>,1
<Node object at 0x2ad840811410: '0.998' (None)>,13
<Node object at 0x2ad83c9814d0: '0.825' (None)>,155
<Node object at 0x2ad8787da2d0: '0.797' (None)>,2
<Node object at 0x2ad87454f410: '0.857' (None)>,3
<Node object at 0x2ad8742f7790: '0.751' (None)>,9
<Node object at 0x2ad86fc00450: '0.927' (None)>,1
<Node object at 0x2ad8712af610: '0.916' (None)>,1
<Node object at 0x2ad844993510: '0.758' (None)>,1
<Node object at 0x2ad86f0a4190: '0.715' (None)>,1
<Node object at 0x2ad871a71f50: '0.741' (None)>,3
<Node object at 0x2ad83f74c750: '0.678' (None)>,1
<Node object at 0x2ad87376e910: '0.771' (None)>,1
<Node object at 0x2ad874efd790: '0.837' (None)>,8
<Node object at 0x2ad83ebc1890: '0.067' (None)>,1
<Node object at 0x2ad872f6f610: '0.742' (None)>,1
<Node object at 0x2ad840047190: '0.845' (None)>,1
<Node object at 0x2ad873e23910: '0.528' (None)>,1
<Node object at 0x2ad86fc05990: '0.000' (None)>,1
<Node object at 0x2ad870073bd0: '0.798' (None)>,3
<Node object at 0x2ad874b98a50: '0.936' (None)>,3
<Node object at 0x2ad87b5faad0: '0.980' (None)>,1
<Node object at 0x2ad8717bdb90: '0.917' (None)>,1
<Node object at 0x2ad89225cb50: '0.790' (None)>,1
<Node object at 0x2ad877b401d0: '0.361' (None)>,1
<Node object at 0x2ad870365ad0: '0.850' (None)>,1
<Node object at 0x2ad83caf4a10: '0.548' (None)>,1
<Node object at 0x2ad877eda650: '0.741' (None)>,18
<Node object at 0x2ad86e251c90: '0.841' (None)>,446
<Node object at 0x2ad871902cd0: '0.001' (None)>,1
<Node object at 0x2ad84d6941d0: '1.000' (None)>,1
<Node object at 0x2ad875915d90: '0.709' (None)>,1
<Node object at 0x2ad8701f7e10: '0.900' (None)>,3
<Node object at 0x2ad8761d9e90: '0.858' (None)>,79
<Node object at 0x2ad871e3bf10: '0.386' (None)>,15
<Node object at 0x2ad875c12710: '0.658' (None)>,1
<Node object at 0x2ad844eee050: '0.881' (None)>,1
<Node object at 0x2ad8744bd950: '0.838' (None)>,1
<Node object at 0x2ad872d12e90: '0.850' (None)>,46
<Node object at 0x2ad872f26190: '0.000' (None)>,3
<Node object at 0x2ad874730490: 'None' (None)>,5
<Node object at 0x2ad87641fcd0: '0.000' (None)>,6
<Node object at 0x2ad87b1b9a50: '0.860' (None)>,1
<Node object at 0x2ad8736dc4d0: '0.888' (None)>,2
<Node object at 0x2ad8756df3d0: '0.397' (None)>,7
<Node object at 0x2ad838510410: '0.712' (None)>,1
<Node object at 0x2ad872d3d090: '0.887' (None)>,1
